iter	Passed	Remaining
0	142	142657
1	145	72480
2	147	48932
3	149	37108
4	150	30041
5	152	25338
6	154	21967
7	156	19427
8	158	17482
9	160	15891
10	162	14598
11	164	13550
12	166	12644
13	168	11888
14	171	11256
15	173	10673
16	175	10167
17	177	9691
18	179	9288
19	182	8925
20	184	8587
21	186	8289
22	188	8019
23	191	7777
24	193	7531
25	195	7322
26	197	7133
27	200	6968
28	203	6821
29	206	6677
30	208	6527
31	211	6386
32	213	6265
33	216	6139
34	218	6013
35	220	5899
36	222	5794
37	225	5704
38	227	5609
39	229	5512
40	232	5430
41	234	5351
42	236	5268
43	239	5207
44	242	5141
45	244	5072
46	246	5002
47	248	4933
48	251	4871
49	253	4809
50	255	4750
51	257	4696
52	259	4638
53	261	4586
54	263	4535
55	266	4496
56	269	4451
57	271	4409
58	273	4362
59	275	4314
60	277	4269
61	279	4226
62	281	4187
63	283	4142
64	284	4099
65	286	4054
66	288	4012
67	289	3961
68	290	3925
69	292	3891
70	294	3857
71	296	3825
72	298	3791
73	300	3761
74	302	3729
75	304	3696
76	305	3667
77	307	3636
78	309	3607
79	311	3579
80	313	3551
81	314	3523
82	316	3498
83	318	3468
84	319	3438
85	320	3411
86	321	3375
87	323	3347
88	324	3321
89	325	3295
90	327	3268
91	328	3242
92	330	3219
93	331	3193
94	332	3170
95	333	3144
96	335	3120
97	336	3097
98	337	3072
99	339	3053
100	340	3031
101	341	3005
102	342	2983
103	343	2962
104	345	2944
105	346	2925
106	348	2909
107	349	2890
108	351	2871
109	352	2850
110	353	2830
111	354	2812
112	355	2793
113	357	2775
114	358	2757
115	359	2738
116	361	2725
117	362	2709
118	363	2692
119	365	2676
120	366	2660
121	367	2646
122	368	2627
123	369	2611
124	371	2598
125	372	2584
126	374	2571
127	375	2555
128	376	2542
129	377	2528
130	378	2513
131	380	2502
132	382	2490
133	383	2479
134	385	2467
135	386	2456
136	388	2447
137	389	2433
138	391	2421
139	392	2409
140	393	2398
141	394	2385
142	395	2372
143	397	2360
144	397	2346
145	399	2335
146	400	2325
147	401	2313
148	402	2301
149	404	2291
150	405	2281
151	407	2273
152	409	2265
153	410	2256
154	412	2246
155	413	2235
156	414	2224
157	415	2215
158	416	2205
159	418	2194
160	419	2183
